,name,rating,private_public,employees,age,field
0,TCS,3.8,Public,1 Lakh+ Employees,56 years old,IT Services & Consulting
1,Accenture,4.0,Public,1 Lakh+ Employees,35 years old,IT Services & Consulting
2,Cognizant,3.9,Forbes Global 2000,1 Lakh+ Employees,30 years old,IT Services & Consulting
3,Wipro,3.8,Public,1 Lakh+ Employees,79 years old,IT Services & Consulting
4,Capgemini,3.9,Public,1 Lakh+ Employees,57 years old,IT Services & Consulting
5,HDFC Bank,4.0,Public,1 Lakh+ Employees,30 years old,Banking
6,ICICI Bank,4.0,Public,1 Lakh+ Employees,30 years old,Banking
7,Infosys,3.8,Public,1 Lakh+ Employees,43 years old,IT Services & Consulting
8,HCLTech,3.7,Public,1 Lakh+ Employees,33 years old,IT Services & Consulting
9,Tech Mahindra,3.7,Public,1 Lakh+ Employees,38 years old,IT Services & Consulting
10,Genpact,3.9,Public,1 Lakh+ Employees,27 years old,IT Services & Consulting
11,Axis Bank,3.9,Public,50k-1 Lakh Employees,31 years old,Banking
12,Teleperformance,3.7,Forbes Global 2000,50k-1 Lakh Employees,46 years old,BPO
13,Concentrix Corporation,3.9,Public,50k-1 Lakh Employees,41 years old,BPO
14,Jio,4.0,Public,50k-1 Lakh Employees,6 years old,Telecom
15,Amazon,4.1,Public,1 Lakh+ Employees,30 years old,Internet
16,IBM,4.1,Public,1 Lakh+ Employees,113 years old,IT Services & Consulting
17,Reliance Retail,4.0,18 years old,1 Lakh+ Employees,-,Retail
18,HDB Financial Services,4.0,17 years old,1 Lakh+ Employees,-,NBFC
19,Larsen & Toubro Limited,4.1,Public,10k-50k Employees,86 years old,Engineering & Construction
